Date,Model,Region,Country,Dealer,Units_Sold,Price_USD,Revenue,Customer_Type,Segment,Fuel_Type,Color
2023-07-20,CLS 63,Asia,Japan,Chicago Auto,4,90648,362592,New,Sedan,Hybrid,Blue
2024-01-25,SLS AMG,USA,USA,Tokyo Motors,1,255748,255748,Returning,Supercar,Hybrid,Silver
2023-01-05,AMG GT 63,Asia,UAE,Delhi Motors,2,197541,395082,New,Sedan,Petrol,White
2023-03-04,CLS 63,Europe,France,NY Motors,1,101428,101428,Returning,Sedan,Petrol,Black
2024-02-09,AMG G 63,USA,USA,Berlin Auto,4,223141,892564,New,SUV,Petrol,Silver
2024-03-12,AMG GT 63,Asia,India,Tokyo Motors,2,192587,385174,New,Sedan,Petrol,Black
2023-01-01,AMG GT 63,Asia,India,Singapore Auto,1,186181,186181,Returning,Sedan,Petrol,White
2023-09-07,SLS AMG,Europe,UK,Dubai Luxury,3,250004,750012,New,Supercar,Petrol,Blue
2024-02-05,AMG G 63,USA,USA,Hamburg Auto,5,215053,1075265,Returning,SUV,Petrol,Red
2023-11-02,SLS AMG,Europe,UK,NY Motors,3,281016,843048,Returning,Supercar,Petrol,Black
2023-12-01,AMG G 63,Europe,France,Rome Motors,3,218300,654900,New,SUV,Petrol,Black
2023-11-26,CLS 63,Asia,UAE,Berlin Auto,5,92100,460500,Returning,Sedan,Petrol,Silver
2023-04-21,CLS 63,USA,USA,Hamburg Auto,3,88137,264411,Returning,Sedan,Petrol,Red
2024-11-26,CLS 63,USA,USA,Dubai Luxury,3,98183,294549,Returning,Sedan,Petrol,Silver
2024-02-07,CLS 63,Asia,UAE,LA Motors,2,88863,177726,New,Sedan,Petrol,Blue
2023-08-21,AMG G 63,Europe,UK,Mumbai Wheels,1,210143,210143,New,SUV,Petrol,White
2023-09-06,AMG GT 63,Asia,UAE,London Cars,3,195151,585453,New,Sedan,Petrol,Red
2023-09-14,AMG G 63,Asia,Singapore,Chicago Auto,4,197792,791168,New,SUV,Hybrid,White
2023-01-28,AMG GT 63,Europe,Italy,Mumbai Wheels,5,164244,821220,New,Sedan,Petrol,Silver
2024-09-14,AMG GT 63,Europe,France,LA Motors,5,193219,966095,Returning,Sedan,Petrol,Black
2024-09-22,CLS 63,Europe,France,Paris Auto,1,89517,89517,Returning,Sedan,Petrol,Black
2023-05-25,CLS 63,Asia,Japan,Rome Motors,3,97827,293481,Returning,Sedan,Petrol,White
2024-09-14,AMG G 63,Asia,Japan,Dubai Luxury,2,200918,401836,Returning,SUV,Hybrid,White
2024-03-18,AMG G 63,USA,USA,Chicago Auto,5,228215,1141075,New,SUV,Petrol,Red
2023-12-16,AMG GT 63,Europe,UK,Houston Wheels,1,164888,164888,New,Sedan,Petrol,Blue
2024-07-01,AMG G 63,USA,USA,Berlin Auto,2,213191,426382,New,SUV,Hybrid,Black
2024-08-28,AMG G 63,Europe,France,Houston Wheels,1,219175,219175,New,SUV,Petrol,Silver
2023-06-22,AMG G 63,Asia,UAE,Rome Motors,4,206868,827472,New,SUV,Petrol,Red
2024-07-12,CLS 63,Europe,UK,Berlin Auto,5,95115,475575,New,Sedan,Petrol,Silver
2023-09-16,CLS 63,Europe,UK,London Cars,2,95923,191846,Returning,Sedan,Hybrid,Blue
2023-06-17,SLS AMG,Asia,Singapore,Tokyo Motors,1,273531,273531,New,Supercar,Petrol,Silver
2024-08-28,AMG GT 63,Asia,India,Houston Wheels,4,196740,786960,Returning,Sedan,Hybrid,Silver
2023-05-17,SLS AMG,USA,USA,Dubai Luxury,1,272538,272538,Returning,Supercar,Petrol,Blue
2023-08-17,SLS AMG,Europe,France,Tokyo Motors,5,276357,1381785,New,Supercar,Petrol,Red
2024-08-23,CLS 63,Europe,Germany,Mumbai Wheels,3,97357,292071,New,Sedan,Petrol,Black
2024-10-26,CLS 63,Asia,Singapore,Hamburg Auto,2,95827,191654,Returning,Sedan,Petrol,Silver
2023-07-17,SLS AMG,USA,USA,Hamburg Auto,3,251415,754245,Returning,Supercar,Petrol,Blue
2023-10-16,AMG G 63,Europe,France,NY Motors,4,230903,923612,New,SUV,Petrol,Blue
2024-02-15,AMG GT 63,Asia,UAE,Singapore Auto,2,189448,378896,New,Sedan,Petrol,Blue
2023-06-08,AMG GT 63,Asia,Japan,Singapore Auto,5,181434,907170,New,Sedan,Petrol,Red
2024-11-15,SLS AMG,USA,USA,Dubai Luxury,3,263406,790218,Returning,Supercar,Petrol,Blue
2024-10-21,AMG GT 63,Europe,UK,London Cars,2,196102,392204,Returning,Sedan,Hybrid,White
2024-09-14,AMG G 63,USA,USA,LA Motors,4,212735,850940,Returning,SUV,Petrol,Blue
2023-05-07,SLS AMG,Asia,Japan,Rome Motors,1,256054,256054,New,Supercar,Petrol,Black
2024-12-26,AMG GT 63,USA,USA,Delhi Motors,5,197454,987270,Returning,Sedan,Petrol,Black
2023-01-01,AMG GT 63,Europe,France,Dubai Luxury,5,175655,878275,New,Sedan,Petrol,Red
2023-11-09,CLS 63,Europe,Germany,Dubai Luxury,4,95710,382840,New,Sedan,Hybrid,White
2024-04-19,SLS AMG,USA,USA,Delhi Motors,3,235708,707124,New,Supercar,Petrol,Black
2023-06-29,SLS AMG,Asia,Japan,Delhi Motors,1,274585,274585,New,Supercar,Petrol,Red
2024-04-13,CLS 63,USA,USA,Delhi Motors,4,94220,376880,Returning,Sedan,Petrol,Red
2023-03-04,CLS 63,Asia,Singapore,Delhi Motors,5,93049,465245,New,Sedan,Petrol,Silver
2023-11-14,AMG G 63,Europe,Germany,Delhi Motors,5,204864,1024320,Returning,SUV,Petrol,White
2024-08-12,AMG GT 63,USA,USA,Mumbai Wheels,2,181240,362480,New,Sedan,Petrol,Silver
2024-10-05,CLS 63,Asia,Singapore,Hamburg Auto,3,92592,277776,Returning,Sedan,Hybrid,White
2024-01-15,CLS 63,USA,USA,Hamburg Auto,4,101455,405820,New,Sedan,Petrol,Black
2023-11-09,AMG GT 63,USA,USA,London Cars,3,180198,540594,Returning,Sedan,Petrol,Blue
2024-08-01,AMG GT 63,Asia,Japan,London Cars,2,190991,381982,Returning,Sedan,Petrol,Silver
2024-03-27,AMG G 63,Asia,UAE,Tokyo Motors,2,189546,379092,New,SUV,Petrol,Blue
2023-05-27,AMG G 63,Asia,Singapore,Singapore Auto,5,206699,1033495,Returning,SUV,Hybrid,Blue
2024-06-06,SLS AMG,USA,USA,Mumbai Wheels,3,264695,794085,Returning,Supercar,Petrol,Blue
2023-09-13,SLS AMG,Asia,UAE,Tokyo Motors,4,245414,981656,Returning,Supercar,Petrol,Black
2024-12-14,SLS AMG,USA,USA,Houston Wheels,1,259208,259208,New,Supercar,Petrol,White
2023-08-25,CLS 63,USA,USA,Paris Auto,3,93512,280536,Returning,Sedan,Petrol,Blue
2024-09-01,AMG GT 63,Asia,Singapore,Berlin Auto,2,181067,362134,Returning,Sedan,Petrol,White
2023-01-17,CLS 63,Asia,UAE,Rome Motors,4,89422,357688,Returning,Sedan,Petrol,Silver
2023-10-14,SLS AMG,USA,USA,London Cars,2,265226,530452,New,Supercar,Petrol,White
2024-11-15,CLS 63,Europe,Germany,LA Motors,2,93518,187036,Returning,Sedan,Petrol,Silver
2024-12-05,AMG GT 63,Asia,Japan,Dubai Luxury,2,164456,328912,New,Sedan,Petrol,Red
2023-04-23,AMG GT 63,USA,USA,London Cars,3,196175,588525,New,Sedan,Petrol,Blue
2023-11-08,CLS 63,Europe,Italy,Singapore Auto,3,96806,290418,New,Sedan,Petrol,Silver
2023-12-31,AMG GT 63,Europe,Germany,Rome Motors,2,165837,331674,New,Sedan,Petrol,Black
2023-08-05,CLS 63,USA,USA,London Cars,2,94233,188466,New,Sedan,Petrol,Blue
2023-04-18,AMG G 63,USA,USA,Houston Wheels,2,193329,386658,New,SUV,Petrol,Silver
2023-01-17,SLS AMG,Asia,Singapore,Delhi Motors,4,262178,1048712,Returning,Supercar,Petrol,Blue
2023-03-22,AMG GT 63,Asia,UAE,Berlin Auto,1,194521,194521,Returning,Sedan,Petrol,White
2024-05-03,CLS 63,Europe,France,Rome Motors,1,88930,88930,New,Sedan,Petrol,Blue
2024-06-02,CLS 63,USA,USA,London Cars,2,93513,187026,New,Sedan,Petrol,Red
2024-02-06,AMG GT 63,Europe,France,Delhi Motors,3,182184,546552,New,Sedan,Petrol,Blue
2023-06-20,AMG G 63,Europe,France,Hamburg Auto,4,213041,852164,Returning,SUV,Petrol,Blue
2024-02-01,SLS AMG,Asia,Japan,Chicago Auto,2,279586,559172,Returning,Supercar,Petrol,White
2024-06-29,SLS AMG,USA,USA,Hamburg Auto,5,261504,1307520,Returning,Supercar,Hybrid,Silver
2023-02-08,SLS AMG,Asia,UAE,Delhi Motors,5,235955,1179775,Returning,Supercar,Petrol,Red
2023-08-27,CLS 63,Europe,UK,Paris Auto,4,99514,398056,Returning,Sedan,Petrol,Blue
2023-05-22,AMG G 63,Europe,UK,Singapore Auto,2,198811,397622,New,SUV,Petrol,Blue
2024-08-07,AMG GT 63,Asia,India,London Cars,4,169857,679428,Returning,Sedan,Petrol,Blue
2024-01-15,SLS AMG,USA,USA,London Cars,3,280993,842979,Returning,Supercar,Petrol,Red
2024-07-24,AMG G 63,Asia,Singapore,Berlin Auto,5,223886,1119430,Returning,SUV,Petrol,White
2023-08-06,CLS 63,Asia,UAE,Dubai Luxury,5,86599,432995,New,Sedan,Petrol,Black
2023-04-09,AMG G 63,Europe,Germany,Chicago Auto,3,205642,616926,Returning,SUV,Petrol,Black
2023-08-04,AMG GT 63,USA,USA,Berlin Auto,5,170057,850285,New,Sedan,Petrol,Red
2023-12-23,SLS AMG,USA,USA,Paris Auto,3,248193,744579,New,Supercar,Hybrid,Black
2023-11-28,SLS AMG,Asia,Singapore,London Cars,1,262644,262644,New,Supercar,Petrol,Red
2023-02-07,AMG G 63,USA,USA,Tokyo Motors,2,211369,422738,New,SUV,Petrol,Blue
2024-08-15,SLS AMG,Asia,Japan,Houston Wheels,5,281138,1405690,New,Supercar,Petrol,White
2023-02-09,AMG GT 63,Asia,India,Delhi Motors,3,193253,579759,Returning,Sedan,Hybrid,Silver
2024-11-11,CLS 63,USA,USA,Chicago Auto,1,103171,103171,Returning,Sedan,Petrol,Red
2023-01-07,CLS 63,USA,USA,Chicago Auto,2,94343,188686,New,Sedan,Petrol,White
2024-11-02,AMG GT 63,Asia,UAE,Hamburg Auto,2,191446,382892,Returning,Sedan,Petrol,Red
2023-10-22,SLS AMG,Asia,UAE,NY Motors,1,263111,263111,Returning,Supercar,Petrol,Red
2024-03-23,AMG G 63,Asia,Singapore,Berlin Auto,3,220963,662889,Returning,SUV,Petrol,White
2024-02-16,AMG G 63,USA,USA,Houston Wheels,5,193305,966525,Returning,SUV,Petrol,Red
2023-08-30,AMG G 63,USA,USA,Delhi Motors,4,191828,767312,Returning,SUV,Petrol,White
2023-04-30,AMG GT 63,Europe,UK,Houston Wheels,5,178054,890270,New,Sedan,Petrol,Blue
2024-04-04,AMG GT 63,Asia,Singapore,Delhi Motors,3,171090,513270,New,Sedan,Petrol,White
2023-10-12,AMG G 63,Asia,Singapore,Chicago Auto,1,195872,195872,New,SUV,Petrol,Silver
2023-05-10,AMG GT 63,Europe,Italy,Berlin Auto,3,171837,515511,New,Sedan,Hybrid,Red
2023-01-21,AMG GT 63,Asia,Singapore,Singapore Auto,3,171871,515613,New,Sedan,Petrol,White
2024-06-10,SLS AMG,Asia,Singapore,Delhi Motors,1,271176,271176,Returning,Supercar,Hybrid,Silver
2024-08-06,AMG G 63,Europe,Germany,Delhi Motors,5,221617,1108085,New,SUV,Petrol,White
2023-07-18,AMG GT 63,Asia,Japan,LA Motors,5,194826,974130,Returning,Sedan,Petrol,Black
2023-07-25,AMG GT 63,Asia,UAE,LA Motors,4,177491,709964,Returning,Sedan,Petrol,Red
2024-12-26,SLS AMG,Asia,India,Mumbai Wheels,3,285186,855558,New,Supercar,Petrol,White
2023-11-16,SLS AMG,Europe,France,Berlin Auto,3,270139,810417,New,Supercar,Hybrid,Black
2024-01-27,AMG GT 63,Europe,France,London Cars,1,170713,170713,New,Sedan,Petrol,Red
2024-10-21,CLS 63,Europe,Italy,Mumbai Wheels,4,86875,347500,New,Sedan,Petrol,Blue
2024-08-11,AMG G 63,Europe,UK,Hamburg Auto,2,230053,460106,Returning,SUV,Petrol,White
2023-05-23,SLS AMG,Europe,France,LA Motors,1,283480,283480,New,Supercar,Petrol,Black
2023-03-14,AMG GT 63,USA,USA,Paris Auto,2,195667,391334,Returning,Sedan,Petrol,Red
2023-11-14,AMG GT 63,USA,USA,Hamburg Auto,3,194213,582639,Returning,Sedan,Petrol,White
2024-05-29,AMG GT 63,Asia,Japan,Rome Motors,3,188093,564279,Returning,Sedan,Petrol,Blue
2024-06-20,CLS 63,USA,USA,Rome Motors,3,104041,312123,Returning,Sedan,Petrol,Blue
2024-09-22,CLS 63,USA,USA,Dubai Luxury,4,96051,384204,Returning,Sedan,Petrol,Blue
2023-12-18,AMG G 63,Asia,Singapore,Dubai Luxury,4,197380,789520,New,SUV,Petrol,Black
2023-11-28,CLS 63,Europe,Germany,Rome Motors,5,101578,507890,New,Sedan,Petrol,Red
2024-01-17,AMG G 63,Europe,Germany,Dubai Luxury,1,207421,207421,New,SUV,Petrol,Red
2024-07-31,AMG GT 63,Europe,Italy,Berlin Auto,2,197716,395432,Returning,Sedan,Hybrid,Red
2024-10-04,CLS 63,Europe,Italy,Tokyo Motors,1,87999,87999,Returning,Sedan,Petrol,White
2024-06-09,SLS AMG,Europe,France,Tokyo Motors,5,237594,1187970,New,Supercar,Petrol,Red
2024-01-16,AMG GT 63,Europe,Italy,Hamburg Auto,1,185854,185854,New,Sedan,Petrol,Silver
2023-01-28,SLS AMG,USA,USA,Tokyo Motors,5,250909,1254545,Returning,Supercar,Petrol,Red
2023-10-28,AMG GT 63,USA,USA,NY Motors,2,164645,329290,Returning,Sedan,Petrol,Blue
2023-12-27,CLS 63,Asia,Japan,London Cars,3,103523,310569,New,Sedan,Petrol,Red
2023-10-11,CLS 63,USA,USA,Tokyo Motors,5,95636,478180,New,Sedan,Petrol,Red
2023-06-05,AMG GT 63,USA,USA,Berlin Auto,4,181436,725744,Returning,Sedan,Petrol,White
2024-05-25,CLS 63,Europe,Germany,Delhi Motors,3,94091,282273,New,Sedan,Petrol,Black
2024-11-21,SLS AMG,Europe,Italy,Tokyo Motors,2,284186,568372,New,Supercar,Petrol,Black
2023-11-02,CLS 63,Asia,Singapore,London Cars,3,94788,284364,Returning,Sedan,Petrol,Blue
2023-11-04,AMG G 63,Europe,UK,LA Motors,2,196910,393820,New,SUV,Petrol,Blue
2024-05-09,SLS AMG,USA,USA,Mumbai Wheels,1,277581,277581,Returning,Supercar,Petrol,White
2023-05-25,SLS AMG,USA,USA,London Cars,1,235580,235580,Returning,Supercar,Petrol,Red
2023-01-01,AMG GT 63,USA,USA,Houston Wheels,5,186010,930050,New,Sedan,Petrol,Red
2024-12-04,SLS AMG,USA,USA,Paris Auto,1,255159,255159,Returning,Supercar,Petrol,Blue
2024-08-11,AMG GT 63,Asia,Singapore,Singapore Auto,2,176549,353098,Returning,Sedan,Hybrid,Silver
2024-03-29,SLS AMG,Europe,Germany,Paris Auto,3,279182,837546,New,Supercar,Petrol,Black
2024-12-25,AMG GT 63,Asia,Japan,Rome Motors,5,175695,878475,New,Sedan,Petrol,Black
2024-05-11,AMG GT 63,Europe,UK,NY Motors,3,168063,504189,Returning,Sedan,Petrol,Black
2023-01-03,CLS 63,Europe,Italy,Mumbai Wheels,4,85987,343948,Returning,Sedan,Petrol,Blue
2023-10-31,CLS 63,USA,USA,LA Motors,4,97050,388200,Returning,Sedan,Petrol,White
2023-12-30,AMG GT 63,USA,USA,Chicago Auto,5,169048,845240,New,Sedan,Hybrid,Blue
2023-05-04,AMG GT 63,Asia,Japan,NY Motors,3,164169,492507,New,Sedan,Petrol,Silver
2023-11-30,CLS 63,Asia,Japan,Houston Wheels,3,103162,309486,Returning,Sedan,Petrol,White
2024-02-24,SLS AMG,Europe,UK,Delhi Motors,5,255504,1277520,New,Supercar,Petrol,Red
2024-08-08,AMG GT 63,Asia,Singapore,Hamburg Auto,1,182423,182423,Returning,Sedan,Hybrid,Red
2024-03-27,SLS AMG,USA,USA,Berlin Auto,1,253422,253422,New,Supercar,Petrol,Silver
2023-05-21,AMG GT 63,Europe,UK,Tokyo Motors,4,170210,680840,New,Sedan,Petrol,White
2024-09-24,CLS 63,Europe,Italy,London Cars,1,90000,90000,New,Sedan,Petrol,Silver
2024-09-03,AMG G 63,USA,USA,Rome Motors,1,193012,193012,Returning,SUV,Petrol,White
2024-08-03,AMG GT 63,Asia,Singapore,LA Motors,2,179024,358048,New,Sedan,Petrol,Blue
2024-10-16,AMG GT 63,USA,USA,NY Motors,2,171247,342494,New,Sedan,Petrol,Black
2023-11-16,AMG GT 63,USA,USA,Tokyo Motors,2,176555,353110,Returning,Sedan,Petrol,Black
2024-04-03,AMG GT 63,Europe,France,Singapore Auto,2,174140,348280,Returning,Sedan,Petrol,Red
2023-12-19,AMG G 63,USA,USA,Paris Auto,1,198519,198519,New,SUV,Petrol,Blue
2024-07-14,AMG G 63,Europe,Italy,Tokyo Motors,4,198815,795260,New,SUV,Petrol,White
2023-03-08,SLS AMG,Asia,UAE,Dubai Luxury,2,285695,571390,Returning,Supercar,Petrol,Silver
2023-12-20,AMG GT 63,Europe,Italy,London Cars,4,165195,660780,New,Sedan,Petrol,Black
2023-11-07,AMG G 63,Europe,UK,Houston Wheels,1,223515,223515,Returning,SUV,Petrol,Red
2024-10-09,AMG G 63,USA,USA,Houston Wheels,5,194032,970160,New,SUV,Petrol,Blue
2023-09-05,AMG G 63,Asia,India,Houston Wheels,5,192903,964515,Returning,SUV,Petrol,Black
2024-04-04,SLS AMG,Europe,Germany,Houston Wheels,4,249762,999048,Returning,Supercar,Petrol,Black
2023-12-07,SLS AMG,USA,USA,Paris Auto,1,260505,260505,New,Supercar,Petrol,White
2023-07-15,SLS AMG,USA,USA,Berlin Auto,3,274886,824658,New,Supercar,Hybrid,Blue
2023-09-01,SLS AMG,USA,USA,Delhi Motors,2,262066,524132,New,Supercar,Petrol,White
2024-10-31,SLS AMG,Europe,France,Hamburg Auto,4,276574,1106296,New,Supercar,Petrol,White
2023-05-10,AMG GT 63,Europe,UK,Singapore Auto,2,185074,370148,New,Sedan,Petrol,Blue
2023-10-16,AMG G 63,USA,USA,Houston Wheels,1,214462,214462,Returning,SUV,Petrol,Red
2024-04-27,CLS 63,Europe,Germany,Chicago Auto,5,87813,439065,New,Sedan,Petrol,Black
2023-03-20,AMG G 63,Asia,Japan,LA Motors,4,202096,808384,Returning,SUV,Hybrid,Blue
2024-03-22,SLS AMG,Asia,Singapore,Houston Wheels,2,267810,535620,New,Supercar,Petrol,Blue
2024-04-11,SLS AMG,Europe,Germany,Mumbai Wheels,3,273221,819663,New,Supercar,Petrol,Black
2023-03-24,CLS 63,USA,USA,Tokyo Motors,1,100371,100371,Returning,Sedan,Petrol,Red
2024-08-31,AMG G 63,USA,USA,London Cars,1,198771,198771,Returning,SUV,Petrol,Red
2024-02-24,AMG G 63,Europe,France,Mumbai Wheels,5,226237,1131185,Returning,SUV,Petrol,Silver
2024-06-02,AMG GT 63,Europe,UK,Hamburg Auto,5,175934,879670,New,Sedan,Petrol,White
2024-07-27,AMG GT 63,Asia,UAE,Berlin Auto,5,189370,946850,Returning,Sedan,Petrol,Blue
2023-03-06,CLS 63,Asia,UAE,Mumbai Wheels,5,104041,520205,Returning,Sedan,Petrol,Red
2024-04-09,AMG GT 63,Asia,Japan,NY Motors,5,192396,961980,New,Sedan,Petrol,Red
2024-06-29,AMG G 63,Europe,Italy,Dubai Luxury,1,214791,214791,New,SUV,Petrol,Blue
2024-07-07,CLS 63,Asia,India,Delhi Motors,1,103413,103413,Returning,Sedan,Petrol,Blue
2023-04-07,SLS AMG,Europe,UK,LA Motors,5,276906,1384530,New,Supercar,Petrol,Silver
